category number description "connected to" generated/new 
PHYS 1 -   
PHYS 2 "major river" D  1
PHYS 3 "major river" A  2
PHYS 4 "major river" DA  
PHYS 5 "major river" X  4
PHYS 6 "major river" XD  
PHYS 7 "major river" XA  
PHYS 8 "major river" XAD  
PHYS 9 "major river" W  8
PHYS 10 "major river" WD  
PHYS 11 "major river" WA  
PHYS 12 "major river" WDA  
PHYS 13 "major river" WX  
PHYS 14 "major river" WXD  
PHYS 15 "major river" WXA  
PHYS 16 "major river" WXAD  
PHYS 17 -   
PHYS 18 "minor river" D  
PHYS 19 "minor river" A  
PHYS 20 "minor river" AD  
PHYS 21 "minor river" X  
PHYS 22 "minor river" XD  
PHYS 23 "minor river" XA  
PHYS 24 "minor river" XAD  
PHYS 25 "minor river" W  
PHYS 26 "minor river" WD  
PHYS 27 "minor river" WA  
PHYS 28 "minor river" WAD  
PHYS 29 "minor river" WX  
PHYS 30 "minor river" WXD  
PHYS 31 "minor river" WXA  
PHYS 32 "minor river" WXAD  
PHYS 33 mountain -  
PHYS 34 mountain D  
PHYS 35 mountain A  
PHYS 36 mountain AD  
PHYS 37 mountain X  
PHYS 38 mountain XD  
PHYS 39 mountain XA  
PHYS 40 mountain XAD  
PHYS 41 mountain W  
PHYS 42 mountain WD  
PHYS 43 mountain WA  
PHYS 44 mountain WAD  
PHYS 45 mountain WX  
PHYS 46 mountain WXD  
PHYS 47 mountain WXA  
PHYS 48 mountain WXAD  
PHYS 49 hill -  
PHYS 50 hill D  
PHYS 51 hill A  
PHYS 52 hill AD  
PHYS 53 hill X  
PHYS 54 hill XD  
PHYS 55 hill XA  
PHYS 56 hill XAD  
PHYS 57 hill W  
PHYS 58 hill WD  
PHYS 59 hill WA  
PHYS 60 hill WAD  
PHYS 61 hill WX  
PHYS 62 hill WXD  
PHYS 63 hill WXA  
PHYS 64 hill WXAD  
PHYS 65 forest -  
PHYS 66 forest D  
PHYS 67 forest A  
PHYS 68 forest AD  
PHYS 69 forest X  
PHYS 70 forest XD  
PHYS 71 forest XA  
PHYS 72 forest XAD  
PHYS 73 forest W  
PHYS 74 forest WD  
PHYS 75 forest WA  
PHYS 76 forest WAD  
PHYS 77 forest WX  
PHYS 78 forest WXD  
PHYS 79 forest WXA  
PHYS 80 forest WXAD  
PHYS 81 road -  
PHYS 82 road W  
PHYS 83 road E  
PHYS 84 road D  
PHYS 85 road C  
PHYS 86 road X  
PHYS 87 road Z  
PHYS 88 road A  
PHYS 89 road Q  
PHYS 90 "small silver resource" -  
PHYS 91 "oasis resource" -  
PHYS 92 "crop resource" -  
PHYS 93 "cotton resource" -  
PHYS 94 "tobacco resource" -  
PHYS 95 "sugar resource" -  
PHYS 96 "ore resource" -  
PHYS 97 "fish resource" -  
PHYS 98 "beaver resource" -  
PHYS 99 "game resource" -  
PHYS 100 "prime timber resource" -  
PHYS 101 - -  
PHYS 102 "large silver resource" -  
PHYS 103 "mineral deposit resource" -  
PHYS 104 ruins -  
PHYS 105 "diffuse pattern" W  
PHYS 106 "diffuse pattern" D  
PHYS 107 "diffuse pattern" X  
PHYS 108 "diffuse pattern" A  
PHYS 109 "black square 8x8" -  
PHYS 110 "black square 8x8" -  
PHYS 111 "black square 8x8" -  
PHYS 112 "black square 8x8" -  
PHYS 113 coast A  "CONNECTED TO TERAIN"
PHYS 114 coast W  
PHYS 115 coast D  
PHYS 116 coast X  
PHYS 117 coast   
PHYS 118 coast   
PHYS 119 coast   
PHYS 120 coast   
PHYS 121 coast   
PHYS 122 coast   
PHYS 123 coast   
PHYS 124 coast   
PHYS 125 coast   
PHYS 126 coast   
PHYS 127 coast   
PHYS 128 coast   
PHYS 129 coast   
PHYS 130 coast   
PHYS 131 coast   
PHYS 132 coast   
PHYS 133 coast   
PHYS 134 coast   
PHYS 135 coast   
PHYS 136 coast   
PHYS 137 coast   
PHYS 138 coast   
PHYS 139 coast   
PHYS 140 coast   
PHYS 141 "major river estuary" W  
PHYS 142 "major river estuary" D  
PHYS 143 "major river estuary" X  
PHYS 144 "major river estuary" A  
PHYS 145 "minor river estuary" W  
PHYS 146 "minor river estuary" D  
PHYS 147 "minor river estuary" X  
PHYS 148 "minor river estuary" A  
PHYS 149 fog-of-war -  
PHYS 150 plow -  
PHYS 151 coast   
PHYS 152 coast   
PHYS 153 coast   
PHYS 154 coast   
     
     
TERRAIN 1 tundra WADX  
TERRAIN 2 prairie WADX  
TERRAIN 3 plains WADX  
TERRAIN 4 desert WADX  
TERRAIN 5 savannah WADX  
TERRAIN 6 grassland WADX  
TERRAIN 7 marsh WADX  
TERRAIN 8 swamp WADX  
TERRAIN 9 "scrub forest" WADX  
TERRAIN 10 arctic WADX  
TERRAIN 11 ocean WADX  
TERRAIN 12 sealane WADX  
     
TERRAIN 51 tundra W * 
TERRAIN 52 prairie W * 
TERRAIN 53 plains W * 
TERRAIN 54 desert W * 
TERRAIN 55 savannah W * 
TERRAIN 56 grassland W * 
TERRAIN 57 marsh W * 
TERRAIN 58 swamp W * 
TERRAIN 59 "scrub forest" W * 
TERRAIN 60 arctic W * 
